Quarter,Revenue
Q1 10,9.74
Q2 10,8.58
Q3 10,10
Q4 10,9.74
Q1 11,10.72
Q2 11,9.08
Q3 11,10.68
Q4 11,10.43
Q1 12,10.78
Q2 12,9.63
Q3 12,11.09
Q4 12,10.78
Q1 13,11.34
Q2 13,10.55
Q3 13,11.58
Q4 13,11.57
Q1 14,12.31
Q2 14,11.65
Q3 14,12.47
Q4 14,12.39
Q1 15,13.39
Q2 15,12.46
Q3 15,13.10
Q4 15,13.51
Q1 16,15.24
Q2 16,12.97
Q3 16,14.28
Q4 16,13.14
Q1 17,14.78
Q2 17,13.34
Q3 17,14.24
Q4 17,12.78
Q1 18,15.35
Q2 18,14.55
Q3 18,15.23
Q4 18,14.31
Q1 19,15.30
Q2 19,14.92
Q3 19,20.26
Q4 19,19.10
Q1 20,20.88
Q2 20,18.03
Q3 20,11.78
Q4 20,14.71
Q1 21,16.25
Q2 21,15.61
Q3 21,17.02
Q4 21,18.53
Q1 22,21.82
Q2 22,19.25
Q3 22,21.50
Q4 22,20.15
Q1 23,23.51
Q2 23,21.82
Q3 23,22.33
Q4 23,21.24
Q1 24,23.55
Q2 24,22.08
Q3 24,23.16
Q4 24,22.57